utility_id,name,state,rate,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,summer_starting_month,summer_ending_month,nox_rate,so2_rate,co2_rate,mercury_rate,percent_coal,percent_oil,percent_gas,percent_nuclear,percent_hydro,percent_biomass,percent_wind,percent_solar,percent_geothermal,percent_other,percent_unknown
392,Alpena Power Co,MI,0.080463638,0.096121151,0.081934358,0.084524011,0.071463154,0.072521534,0.074852221,0.0924506,0.088374711,0.072803018,0.079716264,0.088633677,0.096605303,5,10,0.002452,0.006824,1.641412,0.0000000329,67.0258,0.858,15.4886,14.3142,0,2.0255,0.0019,0,0,0.2858,0.2858
407,Altamaha Electric Member Corp,GA,0.081287597,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
406,Altamont City of,IL,0.088863829,0.09407726,0.082964347,0.082172529,0.070448508,0.068228763,0.080120947,0.105699459,0.103654843,0.072949292,0.070673335,0.080557688,0.088453029,5,10,0.0029539,0.0078763,1.7939403,0.0000000363,75.60898,1.36359,3.47813,14.73339,2.4644,1.96514,0.07971,0,0,0.25507,0.25507
471,Amana Society Service Co,IA,0.0752032,0.081581858,0.072455752,0.073700221,0.059181416,0.078401549,0.09278208,0.129009956,0.113938053,0.069275442,0.075497788,0.072040929,0.082134956,5,10,0.003814,0.005877,1.81381,0.0000000433,74.6306,0.5747,1.8032,16.0375,4.7181,0.8355,1.264,0,0,0.1363,0.1363
970,Ameren Energy Marketing,MO,0.044005343,0.09407726,0.082964347,0.082172529,0.070448508,0.068228763,0.080120947,0.105699459,0.103654843,0.072949292,0.070673335,0.080557688,0.088453029,5,10,0.0029539,0.0078763,1.7939403,0.0000000363,75.60898,1.36359,3.47813,14.73339,2.4644,1.96514,0.07971,0,0,0.25507,0.25507
40577,"American Mun Power-Ohio, Inc",OH,,0.105407575,0.095137088,0.089107157,0.069737925,0.062614239,0.073213198,0.092868063,0.096311428,0.068035651,0.067012196,0.08016166,0.100393822,5,10,0.0026604,0.0085516,1.5842474,0.00000003754,69.77975,0.75838,7.20283,19.37884,1.25787,1.06599,0.02933,0,0,0.48329,0.48329
49730,American PowerNet,PA,0.050843319,0.100375544,0.090694833,0.086488877,0.075166274,0.064494772,0.076282965,0.094823226,0.092298987,0.072334111,0.070498373,0.077530106,0.099011931,5,10,0.00336825,0.00661975,1.74530625,0.00000003565,71.57695,1.30085,2.799775,16.413525,5.549425,1.56995,0.6666,0,0,0.10585,0.10585
40429,American Samoa Power Authority,AS,0.271804,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,
50156,AmeriPower LLC,TX,0.140189894,0.100375544,0.090694833,0.086488877,0.075166274,0.064494772,0.076282965,0.094823226,0.092298987,0.072334111,0.070498373,0.077530106,0.099011931,5,10,0.00336825,0.00661975,1.74530625,0.00000003565,71.57695,1.30085,2.799775,16.413525,5.549425,1.56995,0.6666,0,0,0.10585,0.10585
554,Ames City of,IA,0.072484188,0.097632015,0.092262085,0.088855827,0.074505978,0.065025152,0.073324618,0.089280534,0.092331325,0.072701757,0.070751701,0.083598444,0.099730563,5,10,0.0037916,0.00594192,1.81560636,0.000000042796,74.496968,0.64674,1.937384,15.9225,4.686548,0.951816,1.218908,0,0,0.136312,0.136312
